Date,(HE),FFR Net Schedule (MW),BC Intertie (MW),MATL Intertie (MW), SASK Intertie (MW)
07/02/2024,01,-25,-25,0,-25
07/02/2024,02,27,-25,52,-25
07/02/2024,03,52,0,52,-25
07/02/2024,04,52,0,52,-25
07/02/2024,05,152,100,52,-25
07/02/2024,06,152,100,52,-25
07/02/2024,07,102,50,52,-25
07/02/2024,08,52,0,52,-25
07/02/2024,09,102,50,52,-25
07/02/2024,10,52,0,52,-25
07/02/2024,11,52,0,52,-25
07/02/2024,12,-23,-50,27,-25
07/02/2024,13,-23,-50,27,-100
07/02/2024,14,-50,-50,0,-100
07/02/2024,15,52,0,52,-100
07/02/2024,16,52,0,52,-27
07/02/2024,17,152,100,52,0
07/02/2024,18,52,0,52,0
07/02/2024,19,-88,-50,-38,0
07/02/2024,20,-58,-30,-28,0
07/02/2024,21,-78,-50,-28,0
07/02/2024,22,-28,0,-28,0
07/02/2024,23,-28,-80,52,0
07/02/2024,24,-8,0,-8,-25
07/03/2024,01,52,0,52,-25
07/03/2024,02,52,0,52,0
07/03/2024,03,52,0,52,0
07/03/2024,04,102,50,52,0
07/03/2024,05,202,150,52,0
07/03/2024,06,202,150,52,0
07/03/2024,07,102,50,52,0
07/03/2024,08,102,50,52,0
07/03/2024,09,-23,-75,52,0
07/03/2024,10,-23,-75,52,-30
07/03/2024,11,-198,-150,-48,-75
07/03/2024,12,-148,-150,2,-100
07/03/2024,13,-148,-150,2,-25
07/03/2024,14,-23,-25,2,-25
07/03/2024,15,-3,-30,27,-25
07/03/2024,16,2,0,2,-25
07/03/2024,17,77,25,52,-25
07/03/2024,18,2,-50,52,-25
07/03/2024,19,-48,-100,52,-25
07/03/2024,20,-48,-100,52,-25
07/03/2024,21,-28,-80,52,-25
07/03/2024,22,-53,-105,52,-25
07/03/2024,23,2,-50,52,-25
07/03/2024,24,102,50,52,-25
07/04/2024,01,202,150,52,-25
07/04/2024,02,102,50,52,-25
07/04/2024,03,102,50,52,-25
07/04/2024,04,152,100,52,-25
07/04/2024,05,152,100,52,-25
07/04/2024,06,102,50,52,-25
07/04/2024,07,52,0,52,-35
07/04/2024,08,-43,-35,-8,-50
07/04/2024,09,-8,0,-8,-50
07/04/2024,10,67,15,52,-100
07/04/2024,11,-23,-25,2,-100
07/04/2024,12,-73,-50,-23,-100
07/04/2024,13,-225,-150,-75,-50
07/04/2024,14,-175,-125,-50,-25
07/04/2024,15,-125,-125,0,-25
07/04/2024,16,-150,-150,0,-25
07/04/2024,17,-100,-100,0,-25
07/04/2024,18,-100,-100,0,-25
07/04/2024,19,-150,-150,0,-120
07/04/2024,20,-123,-175,52,-150
07/04/2024,21,-198,-250,52,-153
07/04/2024,22,-323,-375,52,-153
07/04/2024,23,-462,-466,4,-153
07/04/2024,24,-198,-200,2,-110
07/05/2024,01,-48,-50,2,-90
07/05/2024,02,2,0,2,-50
07/05/2024,03,2,0,2,-25
07/05/2024,04,2,0,2,-25
07/05/2024,05,252,250,2,-25
07/05/2024,06,252,250,2,-25
07/05/2024,07,252,250,2,-25
07/05/2024,08,452,400,52,-25
07/05/2024,09,382,330,52,-25
07/05/2024,10,402,400,2,-50
07/05/2024,11,452,400,52,-50
07/05/2024,12,502,450,52,-50
07/05/2024,13,400,400,0,-50
07/05/2024,14,200,200,0,-125
07/05/2024,15,303,250,53,-75
07/05/2024,16,250,200,50,-75
07/05/2024,17,302,200,102,-75
07/05/2024,18,302,200,102,-103
07/05/2024,19,252,150,102,-135
07/05/2024,20,-48,-150,102,-135
07/05/2024,21,2,-100,102,-110
07/05/2024,22,2,-100,102,-128
07/05/2024,23,102,0,102,-50
07/05/2024,24,52,0,52,-50
07/06/2024,01,52,0,52,-25
07/06/2024,02,452,400,52,-25
07/06/2024,03,552,500,52,0
07/06/2024,04,577,525,52,0
07/06/2024,05,502,450,52,0
07/06/2024,06,402,350,52,0
07/06/2024,07,502,450,52,-25
07/06/2024,08,252,200,52,-25
07/06/2024,09,252,200,52,-25
07/06/2024,10,502,450,52,-25
07/06/2024,11,702,650,52,-25
07/06/2024,12,752,700,52,-25
07/06/2024,13,627,575,52,-75
07/06/2024,14,677,625,52,-75
07/06/2024,15,727,675,52,-50
07/06/2024,16,727,675,52,-50
07/06/2024,17,702,650,52,-25
07/06/2024,18,452,400,52,-25
07/06/2024,19,352,300,52,-25
07/06/2024,20,-98,-150,52,-25
07/06/2024,21,-98,-150,52,-50
07/06/2024,22,-73,-125,52,-50
07/06/2024,23,-98,-150,52,-50
07/06/2024,24,-198,-150,-48,-153
07/07/2024,01,-198,-125,-73,-153
07/07/2024,02,-98,-100,2,-100
07/07/2024,03,-23,-100,77,-50
07/07/2024,04,47,-30,77,-25
07/07/2024,05,72,-30,102,-25
07/07/2024,06,222,120,102,-25
07/07/2024,07,402,300,102,-25
07/07/2024,08,502,400,102,-25
07/07/2024,09,502,400,102,-25
07/07/2024,10,127,75,52,-25
07/07/2024,11,77,-25,102,-25
07/07/2024,12,77,-25,102,-25
07/07/2024,13,77,-25,102,-25
07/07/2024,14,-23,-125,102,-25
07/07/2024,15,-23,-125,102,-25
07/07/2024,16,52,-25,77,-25
07/07/2024,17,2,-25,27,-110
07/07/2024,18,27,-25,52,-110
07/07/2024,19,27,-25,52,-135
07/07/2024,20,-48,-75,27,-153
07/07/2024,21,-73,-125,52,-153
07/07/2024,22,-73,-125,52,-153
07/07/2024,23,-23,-75,52,-153
07/07/2024,24,52,0,52,-100
07/08/2024,01,252,150,102,-75
07/08/2024,02,452,350,102,-50
07/08/2024,03,652,550,102,-25
07/08/2024,04,652,550,102,0
07/08/2024,05,652,550,102,0
07/08/2024,06,652,550,102,0
07/08/2024,07,552,450,102,-25
07/08/2024,08,302,200,102,-50
07/08/2024,09,102,0,102,-50
07/08/2024,10,102,0,102,-30
07/08/2024,11,102,0,102,-115
07/08/2024,12,2,-50,52,-115
07/08/2024,13,-273,-250,-23,-65
07/08/2024,14,-267,-260,-7,-65
07/08/2024,15,-267,-283,16,-65
07/08/2024,16,-256,-308,52,-65
07/08/2024,17,-256,-308,52,-65
07/08/2024,18,-228,-184,-44,-65
07/08/2024,19,-204,-184,-20,-85
07/08/2024,20,-129,-184,55,-110
07/08/2024,21,-257,-184,-73,-153
07/08/2024,22,-257,-184,-73,-153
07/08/2024,23,-245,-185,-60,-153
07/08/2024,24,-234,-182,-52,-153
07/09/2024,01,-234,-181,-53,-153
07/09/2024,02,-173,-183,10,-125
07/09/2024,03,-89,-100,11,-75
07/09/2024,04,2,-50,52,-25
07/09/2024,05,2,-50,52,-25
07/09/2024,06,2,-50,52,-25
07/09/2024,07,27,0,27,-25
07/09/2024,08,-23,-50,27,-50
07/09/2024,09,-73,-50,-23,-75
07/09/2024,10,-341,-245,-96,-153
07/09/2024,11,-344,-247,-97,-153
07/09/2024,12,-317,-102,-215,-153
07/09/2024,13,-262,-110,-152,-153
07/09/2024,14,-267,-90,-177,-90
07/09/2024,15,-266,-191,-75,-100
07/09/2024,16,-223,-212,-11,-30
07/09/2024,17,-264,-212,-52,0
07/09/2024,18,-295,-212,-83,0
07/09/2024,19,-237,-190,-47,-30
07/09/2024,20,-111,-187,76,-75
07/09/2024,21,-61,-191,130,-100
07/09/2024,22,-53,-185,132,-100
07/09/2024,23,-148,-150,2,-75
07/09/2024,24,94,0,94,-25
07/10/2024,01,52,0,52,-25
07/10/2024,02,307,250,57,0
07/10/2024,03,492,435,57,0
07/10/2024,04,492,435,57,0
07/10/2024,05,489,435,54,0
07/10/2024,06,489,435,54,0
07/10/2024,07,464,435,29,0
07/10/2024,08,252,300,-48,0
07/10/2024,09,52,100,-48,0
07/10/2024,10,-48,0,-48,0
07/10/2024,11,-48,0,-48,-30
07/10/2024,12,-48,0,-48,-30
07/10/2024,13,-148,-100,-48,0
07/10/2024,14,-148,-100,-48,34
07/10/2024,15,-171,-100,-71,50
07/10/2024,16,-131,-225,94,65
07/10/2024,17,-231,-325,94,65
07/10/2024,18,-434,-325,-109,0
07/10/2024,19,-443,-318,-125,0
07/10/2024,20,-422,-430,8,0
07/10/2024,21,-437,-314,-123,-100
07/10/2024,22,-437,-314,-123,-75
07/10/2024,23,-432,-311,-121,-75
07/10/2024,24,-246,-300,54,-75
07/11/2024,01,54,0,54,-75
07/11/2024,02,302,200,102,-75
07/11/2024,03,402,300,102,-25
07/11/2024,04,452,350,102,-25
07/11/2024,05,302,200,102,-25
07/11/2024,06,202,100,102,-25
07/11/2024,07,402,300,102,-25
07/11/2024,08,212,175,37,-50
07/11/2024,09,12,-25,37,-75
07/11/2024,10,37,0,37,-75
07/11/2024,11,-265,-150,-115,-75
07/11/2024,12,-332,-225,-107,-35
07/11/2024,13,-587,-421,-166,0
07/11/2024,14,-347,-275,-72,75
07/11/2024,15,-322,-275,-47,147
07/11/2024,16,-422,-375,-47,147
07/11/2024,17,-501,-471,-30,147
07/11/2024,18,-497,-357,-140,147
07/11/2024,19,-409,-388,-21,75
07/11/2024,20,-188,-200,12,0
07/11/2024,21,-169,-200,31,-75
07/11/2024,22,-38,-100,62,-75
07/11/2024,23,37,-50,87,-50
07/11/2024,24,152,50,102,-50
07/12/2024,01,377,275,102,0
07/12/2024,02,502,450,52,0
07/12/2024,03,552,500,52,0
07/12/2024,04,552,500,52,0
07/12/2024,05,627,575,52,0
07/12/2024,06,827,775,52,0
07/12/2024,07,627,575,52,0
07/12/2024,08,472,500,-28,34
07/12/2024,09,272,300,-28,34
07/12/2024,10,372,400,-28,34
07/12/2024,11,422,400,22,0
07/12/2024,12,222,200,22,0
07/12/2024,13,172,150,22,0
07/12/2024,14,122,100,22,0
07/12/2024,15,-98,100,-198,-30
07/12/2024,16,-63,100,-163,-30
07/12/2024,17,12,0,12,0
07/12/2024,18,22,-50,72,0
07/12/2024,19,137,-66,203,0
07/12/2024,20,62,-110,172,0
07/12/2024,21,52,-110,162,0
07/12/2024,22,179,0,179,0
07/12/2024,23,152,100,52,0
07/12/2024,24,424,300,124,0
07/13/2024,01,656,550,106,0
07/13/2024,02,929,825,104,0
07/13/2024,03,804,700,104,0
07/13/2024,04,702,650,52,0
07/13/2024,05,652,600,52,0
07/13/2024,06,652,600,52,0
07/13/2024,07,652,600,52,0
07/13/2024,08,802,750,52,0
07/13/2024,09,852,800,52,0
07/13/2024,10,852,800,52,0
07/13/2024,11,802,750,52,0
07/13/2024,12,652,600,52,0
07/13/2024,13,552,500,52,0
07/13/2024,14,552,500,52,-30
07/13/2024,15,504,400,104,0
07/13/2024,16,354,250,104,0
07/13/2024,17,229,125,104,0
07/13/2024,18,183,0,183,0
07/13/2024,19,139,0,139,0
07/13/2024,20,154,0,154,0
07/13/2024,21,158,0,158,-30
07/13/2024,22,104,0,104,-30
07/13/2024,23,254,150,104,0
07/13/2024,24,504,400,104,0
07/14/2024,01,704,600,104,0
07/14/2024,02,852,800,52,0
07/14/2024,03,652,600,52,0
07/14/2024,04,627,575,52,0
07/14/2024,05,402,350,52,0
07/14/2024,06,327,275,52,0
07/14/2024,07,227,175,52,0
07/14/2024,08,252,200,52,0
07/14/2024,09,452,400,52,0
07/14/2024,10,452,400,52,0
07/14/2024,11,577,525,52,0
07/14/2024,12,502,450,52,0
07/14/2024,13,602,550,52,0
07/14/2024,14,627,575,52,0
07/14/2024,15,702,650,52,0
07/14/2024,16,657,500,157,0
07/14/2024,17,707,550,157,0
07/14/2024,18,657,500,157,0
07/14/2024,19,542,385,157,0
07/14/2024,20,307,150,157,0
07/14/2024,21,207,50,157,-30
07/14/2024,22,207,50,157,-50
07/14/2024,23,257,100,157,-50
07/14/2024,24,304,200,104,-50
07/15/2024,01,404,300,104,-50
07/15/2024,02,602,550,52,0
07/15/2024,03,502,450,52,0
07/15/2024,04,352,300,52,0
07/15/2024,05,202,150,52,0
07/15/2024,06,202,150,52,0
07/15/2024,07,302,250,52,0
07/15/2024,08,350,350,0,-50
07/15/2024,09,450,450,0,-75
07/15/2024,10,200,200,0,-75
07/15/2024,11,200,200,0,-75
07/15/2024,12,100,100,0,0
07/15/2024,13,50,50,0,0
07/15/2024,14,-25,-25,0,-2
07/15/2024,15,-25,-25,0,-25
07/15/2024,16,-50,-50,0,-25
07/15/2024,17,-125,-100,-25,25
07/15/2024,18,-125,-100,-25,25
07/15/2024,19,-185,-100,-85,-25
07/15/2024,20,-315,-150,-165,-75
07/15/2024,21,-250,-150,-100,-128
07/15/2024,22,-150,-150,0,-128
07/15/2024,23,-150,-150,0,-125
07/15/2024,24,-48,-100,52,-75
07/16/2024,01,52,0,52,-50
07/16/2024,02,77,25,52,0
07/16/2024,03,127,75,52,0
07/16/2024,04,127,75,52,0
07/16/2024,05,252,200,52,0
07/16/2024,06,152,100,52,0
07/16/2024,07,152,100,52,0
07/16/2024,08,152,200,-48,-50
07/16/2024,09,152,200,-48,-50
07/16/2024,10,-148,0,-148,-100
07/16/2024,11,-148,0,-148,-75
07/16/2024,12,-108,0,-108,-15
07/16/2024,13,-155,0,-155,-30
07/16/2024,14,-170,0,-170,-50
07/16/2024,15,-123,0,-123,-50
07/16/2024,16,-96,0,-96,-50
07/16/2024,17,-75,0,-75,0
07/16/2024,18,-52,0,-52,-55
07/16/2024,19,-52,0,-52,-55
07/16/2024,20,-15,0,-15,-55
07/16/2024,21,-15,0,-15,-105
07/16/2024,22,-48,0,-48,-153
07/16/2024,23,-36,0,-36,-153
07/16/2024,24,152,100,52,-153
07/17/2024,01,237,235,2,-75
07/17/2024,02,338,235,103,-50
07/17/2024,03,332,235,97,-25
07/17/2024,04,388,235,153,-25
07/17/2024,05,388,235,153,-25
07/17/2024,06,388,235,153,-25
07/17/2024,07,388,235,153,-25
07/17/2024,08,312,235,77,-75
07/17/2024,09,312,235,77,-100
07/17/2024,10,177,100,77,-100
07/17/2024,11,77,0,77,-75
07/17/2024,12,-43,0,-43,-120
07/17/2024,13,-8,0,-8,-120
07/17/2024,14,-8,0,-8,-75
07/17/2024,15,-8,0,-8,-75
07/17/2024,16,-8,0,-8,-75
07/17/2024,17,-12,0,-12,-75
07/17/2024,18,-12,0,-12,-75
07/17/2024,19,-8,0,-8,-100
07/17/2024,20,-46,0,-46,-100
07/17/2024,21,-42,0,-42,-153
07/17/2024,22,-25,0,-25,-153
07/17/2024,23,0,0,0,-100
07/17/2024,24,0,0,0,-100
07/18/2024,01,0,0,0,-25
07/18/2024,02,154,0,154,0
07/18/2024,03,352,250,102,0
07/18/2024,04,404,250,154,0
07/18/2024,05,404,250,154,0
07/18/2024,06,254,100,154,0
07/18/2024,07,152,50,102,0
07/18/2024,08,0,0,0,0
07/18/2024,09,0,0,0,-103
07/18/2024,10,-100,0,-100,-153
07/18/2024,11,-340,-200,-140,-153
07/18/2024,12,-495,-357,-138,-153
07/18/2024,13,-494,-355,-139,-153
07/18/2024,14,-494,-355,-139,-146
07/18/2024,15,-495,-355,-140,0
07/18/2024,16,-474,-267,-207,0
07/18/2024,17,-478,-343,-135,50
07/18/2024,18,-474,-340,-134,50
07/18/2024,19,-474,-340,-134,50
07/18/2024,20,-511,-367,-144,-135
07/18/2024,21,-507,-364,-143,-135
07/18/2024,22,-507,-364,-143,-135
07/18/2024,23,-504,-428,-76,-100
07/18/2024,24,-504,-544,40,-100
07/19/2024,01,2,-100,102,-75
07/19/2024,02,52,0,52,-75
07/19/2024,03,52,0,52,-50
07/19/2024,04,52,0,52,-50
07/19/2024,05,52,0,52,-50
07/19/2024,06,52,0,52,-50
07/19/2024,07,52,0,52,-50
07/19/2024,08,-150,0,-150,-75
07/19/2024,09,-150,0,-150,-153
07/19/2024,10,-313,-50,-263,-153
07/19/2024,11,-225,-75,-150,-153
07/19/2024,12,-338,-138,-200,-153
07/19/2024,13,-399,-125,-274,-153
07/19/2024,14,-443,-175,-268,-75
07/19/2024,15,-462,-216,-246,0
07/19/2024,16,-462,-332,-130,0
07/19/2024,17,-462,-332,-130,125
07/19/2024,18,-452,-325,-127,125
07/19/2024,19,-378,-271,-107,75
07/19/2024,20,-374,-268,-106,-50
07/19/2024,21,-418,-299,-119,-50
07/19/2024,22,-380,-250,-130,-50
07/19/2024,23,-170,-120,-50,-50
07/19/2024,24,2,-50,52,-50
07/20/2024,01,52,0,52,-50
07/20/2024,02,152,100,52,-50
07/20/2024,03,102,50,52,-50
07/20/2024,04,202,150,52,-50
07/20/2024,05,202,150,52,-50
07/20/2024,06,252,200,52,-50
07/20/2024,07,252,200,52,-50
07/20/2024,08,350,350,0,-50
07/20/2024,09,400,400,0,-75
07/20/2024,10,300,350,-50,-75
07/20/2024,11,150,200,-50,-50
07/20/2024,12,50,100,-50,-50
07/20/2024,13,25,75,-50,-50
07/20/2024,14,0,75,-75,-50
07/20/2024,15,0,75,-75,0
07/20/2024,16,-25,25,-50,50
07/20/2024,17,-200,-75,-125,50
07/20/2024,18,-250,-175,-75,50
07/20/2024,19,-200,-125,-75,50
07/20/2024,20,-400,-300,-100,-25
07/20/2024,21,-433,-394,-39,-50
07/20/2024,22,-225,-150,-75,-50
07/20/2024,23,-175,-100,-75,-50
07/20/2024,24,2,-50,52,-50
07/21/2024,01,52,0,52,-50
07/21/2024,02,202,100,102,-50
07/21/2024,03,252,150,102,-50
07/21/2024,04,252,150,102,-50
07/21/2024,05,202,100,102,-50
07/21/2024,06,252,150,102,-50
07/21/2024,07,152,50,102,-50
07/21/2024,08,127,75,52,-50
07/21/2024,09,327,275,52,-50
07/21/2024,10,27,75,-48,-100
07/21/2024,11,-98,-100,2,-100
07/21/2024,12,-123,-100,-23,-100
07/21/2024,13,-239,-241,2,-50
07/21/2024,14,-453,-348,-105,-50
