date,hour,US,AB
01/01/2018,1,2203,98
01/01/2018,2,2231,97
01/01/2018,3,2172,79
01/01/2018,4,1902,85
01/01/2018,5,1870,84
01/01/2018,6,2064,116
01/01/2018,7,1887,228
01/01/2018,8,1851,273
01/01/2018,9,1329,282
01/01/2018,10,32,184
01/01/2018,11,-210,118
01/01/2018,12,-210,94
01/01/2018,13,-243,111
01/01/2018,14,-218,91
01/01/2018,15,-49,116
01/01/2018,16,1138,226
01/01/2018,17,1147,211
01/01/2018,18,1357,153
01/01/2018,19,1449,105
01/01/2018,20,1363,94
01/01/2018,21,1422,93
01/01/2018,22,1231,108
01/01/2018,23,1129,138
01/01/2018,24,1623,120
01/02/2018,1,1932,116
01/02/2018,2,2013,79
01/02/2018,3,1949,58
01/02/2018,4,1679,46
01/02/2018,5,1851,51
01/02/2018,6,1783,40
01/02/2018,7,1321,82
01/02/2018,8,1293,67
01/02/2018,9,887,113
01/02/2018,10,622,136
01/02/2018,11,835,139
01/02/2018,12,868,116
01/02/2018,13,835,116
01/02/2018,14,1036,103
01/02/2018,15,617,104
01/02/2018,16,692,213
01/02/2018,17,1058,230
01/02/2018,18,1019,112
01/02/2018,19,1179,129
01/02/2018,20,1299,104
01/02/2018,21,1286,95
01/02/2018,22,1048,90
01/02/2018,23,1281,67
01/02/2018,24,1580,18
01/03/2018,1,1926,2
01/03/2018,2,1910,-7
01/03/2018,3,1640,-15
01/03/2018,4,1605,-12
01/03/2018,5,1818,-24
01/03/2018,6,1375,-29
01/03/2018,7,1194,19
01/03/2018,8,1086,-19
01/03/2018,9,846,49
01/03/2018,10,398,43
01/03/2018,11,432,40
01/03/2018,12,633,54
01/03/2018,13,741,34
01/03/2018,14,735,49
01/03/2018,15,781,64
01/03/2018,16,611,52
01/03/2018,17,988,21
01/03/2018,18,984,53
01/03/2018,19,1194,41
01/03/2018,20,1256,52
01/03/2018,21,1132,22
01/03/2018,22,1097,-12
01/03/2018,23,1112,29
01/03/2018,24,1621,5
01/04/2018,1,1922,-19
01/04/2018,2,1850,26
01/04/2018,3,1984,41
01/04/2018,4,2109,-1
