date,hour,elec_net_MW
1/1/18,1,8373
1/1/18,2,8197
1/1/18,3,8027
1/1/18,4,7900
1/1/18,5,7939
1/1/18,6,8061
1/1/18,7,8367
1/1/18,8,8549
1/1/18,9,8668
1/1/18,10,8890
1/1/18,11,9038
1/1/18,12,8970
1/1/18,13,8898
1/1/18,14,8805
1/1/18,15,8789
1/1/18,16,8918
1/1/18,17,9471
1/1/18,18,9928
1/1/18,19,9794
1/1/18,20,9658
1/1/18,21,9436
1/1/18,22,9082
1/1/18,23,8631
1/1/18,24,8259
1/2/18,1,8034
1/2/18,2,7918
1/2/18,3,7826
1/2/18,4,7821
1/2/18,5,7950
1/2/18,6,8324
1/2/18,7,8931
1/2/18,8,9553
1/2/18,9,9820
1/2/18,10,9916
1/2/18,11,10048
1/2/18,12,9995
1/2/18,13,9922
1/2/18,14,9853
1/2/18,15,9770
1/2/18,16,9766
1/2/18,17,10231
1/2/18,18,10490
1/2/18,19,10271
1/2/18,20,9998
1/2/18,21,9714
1/2/18,22,9333
1/2/18,23,8887
1/2/18,24,8464
1/3/18,1,8096
1/3/18,2,7878
1/3/18,3,7780
1/3/18,4,7776
1/3/18,5,7909
1/3/18,6,8234
1/3/18,7,8855
1/3/18,8,9445
1/3/18,9,9732
1/3/18,10,9757
1/3/18,11,9748
1/3/18,12,9624
1/3/18,13,9474
1/3/18,14,9410
1/3/18,15,9361
1/3/18,16,9413
1/3/18,17,9900
1/3/18,18,10373
1/3/18,19,10239
1/3/18,20,10030
1/3/18,21,9699
1/3/18,22,9318
1/3/18,23,8782
1/3/18,24,8318
1/4/18,1,7968
1/4/18,2,7777
1/4/18,3,7718
1/4/18,4,7751
1/4/18,5,7875
1/4/18,6,8227
1/4/18,7,8806
1/4/18,8,9462
1/4/18,9,9764
1/4/18,10,9768
1/4/18,11,9705
1/4/18,12,9650
1/4/18,13,9470
1/4/18,14,9417
1/4/18,15,9399
1/4/18,16,9451
1/4/18,17,9961
1/4/18,18,10245
1/4/18,19,10013
1/4/18,20,9781
1/4/18,21,9430
1/4/18,22,8974
1/4/18,23,8516
1/4/18,24,8048
1/5/18,1,7659
1/5/18,2,7417
1/5/18,3,7281
1/5/18,4,7279
1/5/18,5,7404
1/5/18,6,7671
1/5/18,7,8242
1/5/18,8,8881
1/5/18,9,9101
1/5/18,10,9221
1/5/18,11,9241
1/5/18,12,9266
1/5/18,13,9247
1/5/18,14,9223
1/5/18,15,9157
1/5/18,16,9140
1/5/18,17,9434
1/5/18,18,9631
1/5/18,19,9416
1/5/18,20,9112
1/5/18,21,8872
1/5/18,22,8527
1/5/18,23,8079
1/5/18,24,7660
1/6/18,1,7365
1/6/18,2,7226
1/6/18,3,7104
1/6/18,4,7016
1/6/18,5,7061
1/6/18,6,7174
1/6/18,7,7477
1/6/18,8,7896
1/6/18,9,8230
1/6/18,10,8516
1/6/18,11,8685
1/6/18,12,8686
1/6/18,13,8668
1/6/18,14,8522
1/6/18,15,8528
1/6/18,16,8591
1/6/18,17,9018
1/6/18,18,9241
1/6/18,19,9101
1/6/18,20,8853
1/6/18,21,8609
1/6/18,22,8317
1/6/18,23,7917
1/6/18,24,7565
1/7/18,1,7247
1/7/18,2,7042
1/7/18,3,6917
1/7/18,4,6901
1/7/18,5,6922
1/7/18,6,7142
1/7/18,7,7460
1/7/18,8,7815
1/7/18,9,8159
1/7/18,10,8468
1/7/18,11,8644
1/7/18,12,8804
1/7/18,13,8859
1/7/18,14,8814
1/7/18,15,8781
1/7/18,16,8897
1/7/18,17,9308
1/7/18,18,9567
1/7/18,19,9339
1/7/18,20,9095
1/7/18,21,8814
1/7/18,22,8349
1/7/18,23,7812
1/7/18,24,7406
1/8/18,1,7142
1/8/18,2,6962
1/8/18,3,6923
1/8/18,4,6935
1/8/18,5,7021
1/8/18,6,7431
1/8/18,7,8132
1/8/18,8,8911
1/8/18,9,9116
1/8/18,10,9086
1/8/18,11,9050
1/8/18,12,8993
1/8/18,13,9034
1/8/18,14,8939
1/8/18,15,8837
1/8/18,16,8963
1/8/18,17,9286
1/8/18,18,9545
1/8/18,19,9336
1/8/18,20,9109
1/8/18,21,8862
1/8/18,22,8503
1/8/18,23,7978
1/8/18,24,7521
1/9/18,1,7235
1/9/18,2,7050
1/9/18,3,6972
1/9/18,4,6960
1/9/18,5,7026
1/9/18,6,7357
1/9/18,7,8063
1/9/18,8,8816
1/9/18,9,8973
1/9/18,10,8864
1/9/18,11,8776
1/9/18,12,8638
1/9/18,13,8561
1/9/18,14,8499
1/9/18,15,8508
1/9/18,16,8669
1/9/18,17,9046
1/9/18,18,9390
1/9/18,19,9241
1/9/18,20,9062
1/9/18,21,8796
1/9/18,22,8444
1/9/18,23,7923
1/9/18,24,7436
1/10/18,1,7131
1/10/18,2,6908
1/10/18,3,6872
1/10/18,4,6842
1/10/18,5,6958
1/10/18,6,7351
1/10/18,7,8101
1/10/18,8,8860
1/10/18,9,9033
1/10/18,10,8954
1/10/18,11,8839
1/10/18,12,8718
1/10/18,13,8667
1/10/18,14,8597
1/10/18,15,8619
1/10/18,16,8716
1/10/18,17,9211
1/10/18,18,9593
1/10/18,19,9525
1/10/18,20,9312
1/10/18,21,9044
1/10/18,22,8618
1/10/18,23,8123
1/10/18,24,7633
1/11/18,1,7291
1/11/18,2,7098
1/11/18,3,7105
1/11/18,4,7125
1/11/18,5,7253
1/11/18,6,7667
1/11/18,7,8332
1/11/18,8,9104
1/11/18,9,9365
1/11/18,10,9345
1/11/18,11,9361
1/11/18,12,9355
1/11/18,13,9326
1/11/18,14,9271
1/11/18,15,9254
1/11/18,16,9355
1/11/18,17,9737
1/11/18,18,10021
1/11/18,19,9899
1/11/18,20,9682
1/11/18,21,9457
1/11/18,22,9108
1/11/18,23,8585
1/11/18,24,8054
1/12/18,1,7701
1/12/18,2,7494
1/12/18,3,7389
1/12/18,4,7381
1/12/18,5,7506
1/12/18,6,7960
1/12/18,7,8601
1/12/18,8,9357
1/12/18,9,9552
1/12/18,10,9567
1/12/18,11,9534
1/12/18,12,9481
1/12/18,13,9413
1/12/18,14,9390
1/12/18,15,9359
1/12/18,16,9432
1/12/18,17,9798
1/12/18,18,10000
1/12/18,19,9792
1/12/18,20,9530
1/12/18,21,9276
1/12/18,22,8954
1/12/18,23,8514
1/12/18,24,8041
1/13/18,1,7703
1/13/18,2,7394
1/13/18,3,7235
1/13/18,4,7158
1/13/18,5,7172
1/13/18,6,7288
1/13/18,7,7635
1/13/18,8,8044
1/13/18,9,8440
1/13/18,10,8702
1/13/18,11,8781
1/13/18,12,8767
1/13/18,13,8713
1/13/18,14,8667
1/13/18,15,8626
1/13/18,16,8632
1/13/18,17,8958
1/13/18,18,9279
1/13/18,19,9166
1/13/18,20,8889
1/13/18,21,8633
