BUS_I,GEOHASH,LAT,LON,NAME,GEN,LOAD,BA,FIPS
1001,9wdb95,36.670897,-108.581419,FOURCORN,,0.0,SW,35045
1002,9wdb95,36.670897,-108.581419,FOURCORN,,0.22371,SW,35045
1003,9wdb95,36.670897,-108.581419,FOURCORN,,2.21266,SW,35045
1004,9we1bp,36.910483,-108.278462,SAN JUAN,,1.00772,SW,35045
1032,9wdb95,36.670897,-108.581419,FCNGN4CC,2.561,0.0,SW,35045
1034,9we1bp,36.910483,-108.278462,SJUAN G4,6.326,0.0,SW,35045
1101,9w1zzg,35.131373,-109.690674,CORONADO,,4.48254,SW,04001
1102,9w1wf0,34.940278,-110.300278,CHOLLA,,0.17987,SW,04017
1131,9w1zzg,35.131373,-109.690674,CORONADO,6.202,0.0,SW,04001
1201,9w3h8n,35.985019,-111.090655,MOENKOPI,,0.15398,SW,04005
1202,9w94m0,36.961002,-110.864429,NAVAJO,,0.81075,SW,04005
1232,9w94m0,36.961002,-110.864429,NAVAJO 2,6.176,0.0,SW,04005
1301,9qqk6u,35.929472,-114.835922,MEAD,,2.58831,CA,32003
1302,9qw0kp,36.649771,-115.134207,H ALLEN,,0.01709,CA,32003
1303,9qw0kp,36.649771,-115.134207,H ALLEN,,6.20412,CA,32003
1331,9qqk6u,35.929472,-114.835922,HOOVER,4.495,0.0,CA,32003
1333,9qw0kp,36.649771,-115.134207,H ALLEN,9.852,0.0,CA,32003
1401,9mzqxj,33.513802,-113.239936,PALOVRDE,,6.31453,SW,04013
1402,9w01f3,34.067027,-112.396715,WESTWING,,5.0742,SW,04025
1403,9qndpr,34.144722,-114.289722,PARKER,,0.0,CA,04012
1431,9mzqxj,33.513802,-113.239936,PALOVRD2,15.799,0.0,SW,04013
2000,9mtzm4,32.227887,-115.436076,MEXICO,,2.20719,MX,
2030,9mtzm4,32.227887,-115.436076,MEXICO,2.839,0.0,MX,
2100,9mvgw4,32.971469,-115.394435,IMPERIAL,,0.24448,SW,06025
2130,9mvgw4,32.971469,-115.394435,IMPERIAL,1.928,0.0,SW,06025
