ST,COUNTY,RO,FIPS,LAT,LON,GEOHASH,TZOFFSET,DST,SYSTEM,REGION,COUNTY_ST
AZ,Apache,WECC,04001,35.385084,-109.490172,9w61k3,-7.0,1,WECC,SOUTHWEST,Apache AZ
AZ,Cochise,WECC,04003,31.840129,-109.775163,9t9vnh,-7.0,0,WECC,SOUTHWEST,Cochise AZ
AZ,Coconino,WECC,04005,35.829692,-111.773728,9w2ebd,-7.0,1,WECC,SOUTHWEST,Coconino AZ
AZ,Gila,WECC,04007,33.789618,-110.81187,9w10nr,-7.0,0,WECC,SOUTHWEST,Gila AZ
AZ,Graham,WECC,04009,32.931828,-109.87831,9tcg7e,-7.0,0,WECC,SOUTHWEST,Graham AZ
AZ,Greenlee,WECC,04011,33.238872,-109.242323,9tfm44,-7.0,0,WECC,SOUTHWEST,Greenlee AZ
AZ,La Paz,WECC,04012,33.72761,-114.038806,9myzug,-7.0,0,WECC,SOUTHWEST,La Paz AZ
AZ,Maricopa,WECC,04013,33.345176,-112.49893,9tbj8n,-7.0,0,WECC,SOUTHWEST,Maricopa AZ
AZ,Mohave,WECC,04015,35.717705,-113.749689,9qr55w,-7.0,0,WECC,SOUTHWEST,Mohave AZ
AZ,Navajo,WECC,04017,35.390785,-110.321025,9w393d,-7.0,1,WECC,SOUTHWEST,Navajo AZ
AZ,Pima,WECC,04019,32.128043,-111.783657,9t8wb2,-7.0,0,WECC,SOUTHWEST,Pima AZ
AZ,Pinal,WECC,04021,32.918521,-111.36634,9tbg3b,-7.0,0,WECC,SOUTHWEST,Pinal AZ
AZ,Santa Cruz,WECC,04023,31.525733,-110.845228,9t95me,-7.0,0,WECC,SOUTHWEST,Santa Cruz AZ
AZ,Yavapai,WECC,04025,34.631071,-112.577225,9qpvn0,-7.0,0,WECC,SOUTHWEST,Yavapai AZ
AZ,Yuma,WECC,04027,32.773942,-113.910905,9myfry,-7.0,0,WECC,SOUTHWEST,Yuma AZ
CA,Alameda,WECC,06001,37.647139,-121.912488,9q9q1v,-8.0,1,WECC,CAISO,Alameda CA
CA,Alpine,WECC,06003,38.621783,-119.798352,9qfg9y,-8.0,1,WECC,NORTHWEST,Alpine CA
CA,Amador,WECC,06005,38.44355,-120.653856,9qf4wq,-8.0,1,WECC,CAISO,Amador CA
CA,Butte,WECC,06007,39.665959,-121.601919,9r198u,-8.0,1,WECC,CAISO,Butte CA
CA,Calaveras,WECC,06009,38.1839,-120.561441,9qf30x,-8.0,1,WECC,CAISO,Calaveras CA
CA,Colusa,WECC,06011,39.177739,-122.237563,9qcnfk,-8.0,1,WECC,CAISO,Colusa CA
CA,Contra Costa,WECC,06013,37.919479,-121.951543,9q9r8z,-8.0,1,WECC,CAISO,Contra Costa CA
CA,Del Norte,WECC,06015,41.763958,-124.003614,9prvd4,-8.0,1,WECC,NORTHWEST,Del Norte CA
CA,El Dorado,WECC,06017,38.785612,-120.534225,9qfk9h,-8.0,1,WECC,CAISO,El Dorado CA
CA,Fresno,WECC,06019,36.761006,-119.655019,9qdcjh,-8.0,1,WECC,CAISO,Fresno CA
CA,Glenn,WECC,06021,39.602546,-122.4017,9r0cq9,-8.0,1,WECC,CAISO,Glenn CA
CA,Humboldt,WECC,06023,40.706655,-123.926176,9ppzef,-8.0,1,WECC,CAISO,Humboldt CA
CA,Imperial,WECC,06025,33.040814,-115.3554,9mvgzn,-8.0,1,WECC,IID,Imperial CA
CA,Inyo,WECC,06027,36.561977,-117.403927,9qkxbr,-8.0,1,WECC,IID,Inyo CA
CA,Kern,WECC,06029,35.346629,-118.729506,9q7944,-8.0,1,WECC,CAISO,Kern CA
CA,Kings,WECC,06031,36.072478,-119.81553,9q6v1w,-8.0,1,WECC,CAISO,Kings CA
CA,Lake,WECC,06033,39.094802,-122.746757,9qbwqu,-8.0,1,WECC,CAISO,Lake CA
CA,Lassen,WECC,06035,40.721086,-120.629952,9r4pwv,-8.0,1,WECC,NORTHWEST,Lassen CA
CA,Los Angeles,WECC,06037,34.196398,-118.261862,9q5fsc,-8.0,1,WECC,LADWP,Los Angeles CA
CA,Madera,WECC,06039,37.209821,-119.749802,9qdgej,-8.0,1,WECC,CAISO,Madera CA
CA,Marin,WECC,06041,38.051817,-122.745974,9qb8qz,-8.0,1,WECC,CAISO,Marin CA
CA,Mariposa,WECC,06043,37.57003,-119.912861,9qdtxr,-8.0,1,WECC,CAISO,Mariposa CA
CA,Mendocino,WECC,06045,39.432388,-123.442881,9r00qf,-8.0,1,WECC,CAISO,Mendocino CA
CA,Merced,WECC,06047,37.194806,-120.722802,9qd5sg,-8.0,1,WECC,CAISO,Merced CA
CA,Modoc,WECC,06049,41.592918,-120.71837,9r6hsg,-8.0,1,WECC,NORTHWEST,Modoc CA
CA,Mono,WECC,06051,37.915836,-118.875167,9qerwy,-8.0,1,WECC,NORTHWEST,Mono CA
CA,Monterey,WECC,06053,36.240107,-121.315572,9q3wpm,-8.0,1,WECC,CAISO,Monterey CA
