county,node,county_st,state
9w61k3,9w1zzg,Apache AZ,AZ
9t9vnh,9w01f3,Cochise AZ,AZ
9w2ebd,9w3h8n,Coconino AZ,AZ
9w10nr,9w1wf0,Gila AZ,AZ
9tcg7e,9w1wf0,Graham AZ,AZ
9tfm44,9w1wf0,Greenlee AZ,AZ
9myzug,9mzqxj,La Paz AZ,AZ
9tbj8n,9mzqxj,Maricopa AZ,AZ
9qr55w,9qqk6u,Mohave AZ,AZ
9w393d,9w1wf0,Navajo AZ,AZ
9t8wb2,9mzqxj,Pima AZ,AZ
9tbg3b,9w01f3,Pinal AZ,AZ
9t95me,9mzqxj,Santa Cruz AZ,AZ
9qpvn0,9w01f3,Yavapai AZ,AZ
9myfry,9mzqxj,Yuma AZ,AZ
9q9q1v,9q9m24,Alameda CA,CA
9qfg9y,9r4bc7,Alpine CA,CA
9qf4wq,9qcf5u,Amador CA,CA
9r198u,9r13pb,Butte CA,CA
9qf30x,9qcbq0,Calaveras CA,CA
9qcnfk,9qcjcp,Colusa CA,CA
9q9r8z,9qc0p1,Contra Costa CA,CA
9prvd4,9pr8ne,Del Norte CA,CA
9qfk9h,9qcggm,El Dorado CA,CA
9qdcjh,9qdbm8,Fresno CA,CA
9r0cq9,9r106e,Glenn CA,CA
9ppzef,9pr8ne,Humboldt CA,CA
9mvgzn,9mvgw4,Imperial CA,CA
9qkxbr,9qdbm8,Inyo CA,CA
9q7944,9q713t,Kern CA,CA
9q6v1w,9q6tde,Kings CA,CA
9qbwqu,9qcjcp,Lake CA,CA
9r4pwv,9r321k,Lassen CA,CA
9q5fsc,9q5fm0,Los Angeles CA,CA
9qdgej,9qd9xh,Madera CA,CA
9qb8qz,9qbbed,Marin CA,CA
9qdtxr,9qd9xh,Mariposa CA,CA
9r00qf,9r106e,Mendocino CA,CA
9qd5sg,9q9fy1,Merced CA,CA
9r6hsg,9r3wzq,Modoc CA,CA
9qerwy,9qd9xh,Mono CA,CA
9q3wpm,9q92vz,Monterey CA,CA
9qc506,9qbcde,Napa CA,CA
9qfpec,9qcxqg,Nevada CA,CA
9mupxf,9mupsy,Orange CA,CA
9qfnhz,9qcxqg,Placer CA,CA
9r45d8,9r13pb,Plumas CA,CA
9mvxbk,9qj152,Riverside CA,CA
9qcdwz,9qcem3,Sacramento CA,CA
9q9bk8,9q9fy1,San Benito CA,CA
9qjqk1,9qj152,San Bernardino CA,CA
9mugye,9muccv,San Diego CA,CA
9q8w8k,9q8yqr,San Francisco CA,CA
9q9zb3,9qcbq0,San Joaquin CA,CA
9q6371,9q613c,San Luis Obispo CA,CA
9q8uz7,9q9hgh,San Mateo CA,CA
9q4skr,9q603v,Santa Barbara CA,CA
9q97wz,9q97v8,Santa Clara CA,CA
9q94x9,9q97v8,Santa Cruz CA,CA
9r1pyu,9r321k,Shasta CA,CA
9r431k,9r4bc7,Sierra CA,CA
9r2ued,9r88yx,Siskiyou CA,CA
9qc39n,9qc63x,Solano CA,CA
