county_st,gen,load,any
Apache AZ,9w1zzg,9w1zzg,9w1zzg
Cochise AZ,9w1zzg,9w01f3,9w01f3
Coconino AZ,9w94m0,9w3h8n,9w3h8n
Gila AZ,9w1zzg,9w1wf0,9w1wf0
Graham AZ,9w1zzg,9w1wf0,9w1wf0
Greenlee AZ,9w1zzg,9w1wf0,9w1wf0
La Paz AZ,9mzqxj,9mzqxj,9qndpr
Maricopa AZ,9mzqxj,9mzqxj,9mzqxj
Mohave AZ,9qqk6u,9qqk6u,9qqk6u
Navajo AZ,9w1zzg,9w1wf0,9w1wf0
Pima AZ,9mzqxj,9mzqxj,9mzqxj
Pinal AZ,9mzqxj,9w01f3,9w01f3
Santa Cruz AZ,9mzqxj,9mzqxj,9mzqxj
Yavapai AZ,9mzqxj,9w01f3,9w01f3
Yuma AZ,9mzqxj,9mzqxj,9mzqxj
Alameda CA,9q9w99,9q9m24,9q9m24
Alpine CA,9r4bc7,9r4bc7,9r4bc7
Amador CA,9qcf5u,9qcf5u,9qcf5u
Butte CA,9r1jcf,9r13pb,9r13pb
Calaveras CA,9qcf5u,9qcbq0,9qcbq0
Colusa CA,9qben2,9qcjcp,9qcjcp
Contra Costa CA,9qc26h,9qc0p1,9qc0p1
Del Norte CA,9pr8ne,9pr8ne,9pr8ne
El Dorado CA,9qcf5u,9qcggm,9qcggm
Fresno CA,9qdbm8,9qdbm8,9qdbm8
Glenn CA,9r1jcf,9r106e,9r106e
Humboldt CA,9pr8ne,9pr8ne,9pr8ne
Imperial CA,9mvgw4,9mvgw4,9mvgw4
Inyo CA,9qe6tq,9qdbm8,9qe6tq
Kern CA,9q713t,9q713t,9q5zqv
Kings CA,9qdbm8,9q6tde,9q6tde
Lake CA,9qben2,9qcjcp,9qcjcp
Lassen CA,9r321k,9r321k,9r321k
Los Angeles CA,9q5g0q,9q5fm0,9q5fm0
Madera CA,9qdbm8,9qd9xh,9qd9xh
Marin CA,9q8yyc,9qbbed,9qbbed
Mariposa CA,9qe6tq,9qd9xh,9qd9xh
Mendocino CA,9qben2,9r106e,9r106e
Merced CA,9q97v8,9q9fy1,9q9fy1
Modoc CA,9r3wzq,9r3wzq,9r3wzq
Mono CA,9qe6tq,9qd9xh,9qe6tq
Monterey CA,9q92vz,9q92vz,9q92vz
Napa CA,9qben2,9qbcde,9qbcde
Nevada CA,9r4bc7,9qcxqg,9qcxqg
Orange CA,9mupsy,9mupsy,9mupsy
Placer CA,9qcf5u,9qcxqg,9qcxqg
Plumas CA,9r4bc7,9r13pb,9r13pb
Riverside CA,9mvgw4,9qj152,9qj152
Sacramento CA,9qcf5u,9qcem3,9qcem3
San Benito CA,9q92vz,9q9fy1,9q9fy1
San Bernardino CA,9qhe90,9qj152,9qhsdk
San Diego CA,9mudw2,9muccv,9muccv
San Francisco CA,9q8yyc,9q8yqr,9q8yqr
San Joaquin CA,9q9w99,9qcbq0,9qcbq0
San Luis Obispo CA,9q613c,9q613c,9q613c
San Mateo CA,9q9jb9,9q9hgh,9q9hgh
Santa Barbara CA,9q603v,9q603v,9q603v
Santa Clara CA,9q97v8,9q97v8,9q97v8
Santa Cruz CA,9q97v8,9q97v8,9q97v8
Shasta CA,9r321k,9r321k,9r321k
Sierra CA,9r4bc7,9r4bc7,9r4bc7
Siskiyou CA,9r321k,9r88yx,9r88yx
Solano CA,9qc26h,9qc63x,9qc63x
Sonoma CA,9qben2,9qben2,9qben2
Stanislaus CA,9q9w99,9q9wtp,9q9wtp
Sutter CA,9qcf5u,9qct8r,9qct8r
Tehama CA,9r1jcf,9r1jcf,9r1jcf
Trinity CA,9r1jcf,9r1jcf,9r0vxp
Tulare CA,9qdbm8,9qdbm8,9qdbm8
Tuolumne CA,9qcf5u,9qcbq0,9qcbq0
Ventura CA,9q5sgb,9q5sgb,9q5sgb
Yolo CA,9qc26h,9qc63x,9qc63x
Yuba CA,9qcf5u,9qcxqg,9qcxqg
Adams CO,9wve62,9wve62,9wve62
Alamosa CO,9wve62,9wve62,9wve62
Arapahoe CO,9wve62,9wve62,9wve62
Archuleta CO,9we1bp,9we1bp,9we1bp
Baca CO,9wve62,9wve62,9wve62
Bent CO,9wve62,9wve62,9wve62
Boulder CO,9wve62,9xkgmv,9xkgmv
Broomfield CO,9wve62,9wve62,9wve62
Chaffee CO,9wve62,9wve62,9wve62
Cheyenne CO,9wve62,9wve62,9wve62
Clear Creek CO,9wve62,9wve62,9wve62
Conejos CO,9we1bp,9we1bp,9we1bp
Costilla CO,9wve62,9wve62,9wve62
Crowley CO,9wve62,9wve62,9wve62
Custer CO,9wve62,9wve62,9wve62
Delta CO,9x47er,9wdr2q,9wdr2q
Denver CO,9wve62,9wve62,9wve62
Dolores CO,9we1bp,9wdr2q,9wdr2q
Douglas CO,9wve62,9wve62,9wve62
Eagle CO,9x5w98,9x5w98,9x5w98
El Paso CO,9wve62,9wve62,9wve62
Elbert CO,9wve62,9wve62,9wve62
Fremont CO,9wve62,9wve62,9wve62
Garfield CO,9x5w98,9x5w98,9x5w98
Gilpin CO,9wve62,9wve62,9wve62
Grand CO,9x5w98,9x5w98,9x5w98
Gunnison CO,9wve62,9wve62,9wve62
Hinsdale CO,9we1bp,9we1bp,9we1bp
Huerfano CO,9wve62,9wve62,9wve62
Jackson CO,9x5w98,9x5w98,9x5w98
Jefferson CO,9wve62,9wve62,9wve62
Kiowa CO,9wve62,9wve62,9wve62
Kit Carson CO,9wve62,9wve62,9wve62
La Plata CO,9we1bp,9we1bp,9we1bp
Lake CO,9wve62,9wve62,9wve62
Larimer CO,9x5w98,9xkgmv,9xkgmv
Las Animas CO,9wve62,9wve62,9wve62
Lincoln CO,9wve62,9wve62,9wve62
Logan CO,9wve62,9xkgmv,9xkgmv
Mesa CO,9x47er,9x47er,9x47er
Mineral CO,9we1bp,9we1bp,9we1bp
Moffat CO,9x5w98,9x5w98,9x5w98
Montezuma CO,9we1bp,9we1bp,9we1bp
Montrose CO,9we1bp,9wdr2q,9wdr2q
Morgan CO,9wve62,9xkgmv,9xkgmv
Otero CO,9wve62,9wve62,9wve62
Ouray CO,9we1bp,9wdr2q,9wdr2q
Park CO,9wve62,9wve62,9wve62
Phillips CO,9wve62,9xkgmv,9xkgmv
Pitkin CO,9x5w98,9x5w98,9x5w98
Prowers CO,9wve62,9wve62,9wve62
Pueblo CO,9wve62,9wve62,9wve62
Rio Blanco CO,9x47er,9x47er,9x47er
Rio Grande CO,9we1bp,9we1bp,9we1bp
Routt CO,9x5w98,9x5w98,9x5w98
Saguache CO,9wve62,9wve62,9wve62
San Juan CO,9we1bp,9we1bp,9we1bp
San Miguel CO,9we1bp,9wdr2q,9wdr2q
Sedgwick CO,9wve62,9xkgmv,9xkgmv
Summit CO,9x5w98,9x5w98,9x5w98
Teller CO,9wve62,9wve62,9wve62
Washington CO,9wve62,9wve62,9wve62
Weld CO,9wve62,9xkgmv,9xkgmv
Yuma CO,9wve62,9wve62,9wve62
Ada ID,9rwgcr,9rwgcr,9rwgcr
Adams ID,9rwgcr,9rwgcr,9rg8bx
Bannock ID,9x3mfn,9rx7st,9rx7st
Bear Lake ID,9x3mfn,9x3mfn,9x3mfn
Benewah ID,c2e2u0,c2kx95,c2kx95
Bingham ID,9rwgcr,9rx7st,9rx7st
Blaine ID,9rwgcr,9rwgcr,9rwgcr
Boise ID,9rwgcr,9rwgcr,9rwgcr
Bonner ID,c2e2u0,c2kx95,c2kx95
Bonneville ID,9x3mfn,9rx7st,9rx7st
Boundary ID,c2e2u0,c2u6xt,c2u6xt
Butte ID,9rwgcr,9rx7st,9rx7st
Camas ID,9rwgcr,9rwgcr,9rwgcr
Canyon ID,9rwgcr,9rwgcr,9rg8bx
Caribou ID,9x3mfn,9x3mfn,9x3mfn
Cassia ID,9rwgcr,9rx7st,9rx7st
Clark ID,9rwgcr,9rx7st,9rx7st
Clearwater ID,c2e2u0,c2kx95,c2kx95
Custer ID,9rwgcr,9rwgcr,9rwgcr
Elmore ID,9rwgcr,9rwgcr,9rwgcr
Franklin ID,9x3mfn,9x27ep,9x27ep
Fremont ID,9rwgcr,9rx7st,9rx7st
Gem ID,9rwgcr,9rwgcr,9rg8bx
Gooding ID,9rwgcr,9rwgcr,9rwgcr
Idaho ID,c26crp,c2r8x7,c2r8x7
Jefferson ID,9rwgcr,9rx7st,9rx7st
Jerome ID,9rwgcr,9rwgcr,9rwgcr
Kootenai ID,c2e2u0,c2kx95,c2kx95
Latah ID,c2e2u0,c2kx95,c2kx95
Lemhi ID,9rwgcr,c2r8x7,c2r8x7
Lewis ID,c26crp,c2kx95,c2kx95
Lincoln ID,9rwgcr,9rwgcr,9rwgcr
Madison ID,9rwgcr,9rx7st,9rx7st
Minidoka ID,9rwgcr,9rx7st,9rx7st
Nez Perce ID,c26crp,c2kx95,c2kx95
Oneida ID,9rwgcr,9x27ep,9x27ep
Owyhee ID,9rwgcr,9rwgcr,9rwgcr
Payette ID,9rwgcr,9rwgcr,9rg8bx
Power ID,9rwgcr,9rx7st,9rx7st
Shoshone ID,c2e2u0,c2kx95,c2kx95
Teton ID,9x3mfn,9rx7st,9rx7st
Twin Falls ID,9rwgcr,9rwgcr,9rwgcr
Valley ID,9rwgcr,9rwgcr,9rwgcr
Washington ID,9rwgcr,9rwgcr,9rg8bx
Beaverhead MT,9rwgcr,c2r8x7,c2r8x7
Big Horn MT,c8h5zm,c8h5zm,c8h5zm
Blaine MT,c82vu4,c82vu4,c82vu4
Broadwater MT,c82vu4,c2r8x7,c2r8x7
Carbon MT,c8h5zm,c8h5zm,c8h5zm
Carter MT,c8h5zm,c8h5zm,c8h5zm
Cascade MT,c82vu4,c82vu4,c82vu4
Chouteau MT,c82vu4,c82vu4,c82vu4
Custer MT,c8h5zm,c8h5zm,c8h5zm
Deer Lodge MT,c82vu4,c2r8x7,c2r8x7
Fergus MT,c82vu4,c82vu4,c82vu4
Flathead MT,c82vu4,c2r8x7,c2r8x7
Gallatin MT,c82vu4,c2r8x7,c2r8x7
Garfield MT,c8h5zm,c8h5zm,c8h5zm
Glacier MT,c82vu4,c82vu4,c82vu4
Golden Valley MT,c82vu4,c82vu4,c82vu4
Granite MT,c82vu4,c2r8x7,c2r8x7
Hill MT,c82vu4,c82vu4,c82vu4
Jefferson MT,c82vu4,c2r8x7,c2r8x7
Judith Basin MT,c82vu4,c82vu4,c82vu4
Lake MT,c82vu4,c2r8x7,c2r8x7
Lewis and Clark MT,c82vu4,c2r8x7,c2r8x7
Liberty MT,c82vu4,c82vu4,c82vu4
Lincoln MT,c2e2u0,c2kx95,c2kx95
Madison MT,c82vu4,c2r8x7,c2r8x7
McCone MT,c8h5zm,c8h5zm,c8h5zm
Meagher MT,c82vu4,c82vu4,c82vu4
Mineral MT,c82vu4,c2r8x7,c2r8x7
Missoula MT,c82vu4,c2r8x7,c2r8x7
Musselshell MT,c8h5zm,c8h5zm,c8h5zm
Park MT,c82vu4,c2r8x7,c2r8x7
Petroleum MT,c8h5zm,c8h5zm,c8h5zm
Phillips MT,c82vu4,c82vu4,c82vu4
Pondera MT,c82vu4,c82vu4,c82vu4
Powder River MT,c8h5zm,c8h5zm,c8h5zm
Powell MT,c82vu4,c2r8x7,c2r8x7
Prairie MT,c8h5zm,c8h5zm,c8h5zm
Ravalli MT,c82vu4,c2r8x7,c2r8x7
Rosebud MT,c8h5zm,c8h5zm,c8h5zm
Sanders MT,c2e2u0,c2kx95,c2kx95
Silver Bow MT,c82vu4,c2r8x7,c2r8x7
Stillwater MT,c8h5zm,c8h5zm,c8h5zm
Sweet Grass MT,c82vu4,c82vu4,c82vu4
Teton MT,c82vu4,c82vu4,c82vu4
Toole MT,c82vu4,c82vu4,c82vu4
