gamma,mu,lam,eps,status,time,E_rmse,P_caiso,P_wecc,S_dev,E_AZ,E_CA,E_CO,E_ID,E_MT,E_NM,E_NV,E_OR,E_SD,E_TX,E_UT,E_WA,E_WY
0.001,0.001,0.001,1e-06,optimal,27.737,0.0,-9.426,-33.959,0.136,-0.716,3.358,-0.709,-0.294,0.02,-0.206,-0.899,-0.299,0.01,-0.067,-0.209,0.027,-0.328
0.001,0.001,0.01,1e-06,optimal,4.558,0.0,-9.491,-34.427,0.495,-0.715,3.363,-0.703,-0.29,0.024,-0.203,-0.897,-0.295,0.01,-0.067,-0.206,0.03,-0.326
0.001,0.001,0.1,1e-06,optimal,1.418,0.003,-10.072,-36.684,3.027,-0.7,3.417,-0.643,-0.248,0.069,-0.176,-0.881,-0.262,0.011,-0.066,-0.179,0.067,-0.305
0.001,0.001,1.0,1e-06,optimal,1.369,0.015,-12.53,-40.162,14.579,-0.56,3.962,-0.042,0.164,0.523,0.096,-0.722,0.076,0.028,-0.057,0.093,0.433,-0.09
0.001,0.001,10.0,1e-06,optimal,2.618,0.08,-13.182,-4.932,79.961,0.85,9.412,5.966,4.285,5.057,2.814,0.875,3.456,0.197,0.037,2.815,4.096,2.058
0.001,0.001,100.0,1e-06,optimal,6.518,0.126,-12.719,0.0,126.127,1.298,11.144,7.875,5.595,6.498,3.678,1.383,4.53,0.251,0.067,3.68,5.261,2.74
0.001,0.01,0.001,1e-06,optimal,28.146,0.0,-9.427,-33.916,0.339,-0.716,3.356,-0.703,-0.286,0.017,-0.201,-0.896,-0.297,0.002,-0.067,-0.207,0.027,-0.311
0.001,0.01,0.01,1e-06,optimal,4.454,0.001,-9.492,-34.385,0.516,-0.714,3.362,-0.697,-0.282,0.021,-0.199,-0.894,-0.293,0.002,-0.066,-0.204,0.03,-0.309
0.001,0.01,0.1,1e-06,optimal,1.389,0.003,-10.073,-36.657,3.036,-0.7,3.416,-0.638,-0.242,0.061,-0.172,-0.878,-0.26,0.002,-0.066,-0.177,0.067,-0.288
0.001,0.01,1.0,1e-06,optimal,1.361,0.015,-12.531,-40.28,14.559,-0.559,3.961,-0.042,0.159,0.46,0.094,-0.719,0.076,0.006,-0.056,0.092,0.432,-0.085
0.001,0.01,10.0,1e-06,optimal,2.683,0.078,-13.186,-6.505,78.326,0.849,9.408,5.917,4.17,4.448,2.752,0.872,3.432,0.043,0.037,2.787,4.083,1.949
0.001,0.01,100.0,1e-06,optimal,5.482,0.126,-12.466,0.0,126.348,1.355,11.363,8.056,5.609,5.88,3.706,1.443,4.636,0.056,0.071,3.754,5.393,2.679
0.001,0.1,0.001,1e-06,optimal,27.431,0.001,-9.437,-33.503,1.23,-0.711,3.343,-0.65,-0.225,0.008,-0.165,-0.867,-0.277,0.0,-0.063,-0.188,0.026,-0.203
0.001,0.1,0.01,1e-06,optimal,3.928,0.001,-9.503,-33.98,1.286,-0.71,3.348,-0.645,-0.222,0.01,-0.163,-0.865,-0.274,0.0,-0.063,-0.186,0.029,-0.202
0.001,0.1,0.1,1e-06,optimal,1.451,0.003,-10.083,-36.323,3.163,-0.696,3.403,-0.59,-0.191,0.028,-0.141,-0.85,-0.243,0.0,-0.062,-0.161,0.065,-0.189
0.001,0.1,1.0,1e-06,optimal,1.543,0.014,-12.545,-40.666,14.488,-0.556,3.945,-0.039,0.126,0.209,0.077,-0.696,0.071,0.001,-0.053,0.084,0.418,-0.056
0.001,0.1,10.0,1e-06,optimal,1.821,0.071,-13.233,-14.089,71.057,0.844,9.37,5.473,3.286,2.019,2.258,0.843,3.205,0.005,0.035,2.534,3.955,1.275
0.001,0.1,100.0,1e-06,optimal,8.941,0.128,-11.019,0.0,127.72,1.682,12.617,8.771,5.178,3.103,3.564,1.765,5.08,0.007,0.088,4.001,6.071,2.072
