gamma,mu,lam,eps,E_err,P_err,score,time,status
1e-06,1e-06,1e-06,1e-06,0.3939,0.3755,0.0,7.532,optimal
1e-06,1e-06,1e-05,1e-06,0.3939,0.3755,0.0,11.429,optimal
1e-06,1e-06,0.0001,1e-06,0.394,0.3756,0.0,0.165,optimal
1e-06,1e-06,0.001,1e-06,0.3947,0.3761,0.001,0.281,optimal
1e-06,1e-06,0.01,1e-06,0.3951,0.3765,0.001,1.781,optimal
1e-06,1e-06,0.1,1e-06,0.4041,0.3839,0.008,1.677,optimal
1e-06,1e-06,1.0,1e-06,0.434,0.4122,0.029,0.627,optimal
1e-06,1e-06,10.0,1e-06,0.4216,0.43,0.051,0.52,optimal
1e-06,1e-06,100.0,1e-06,0.2658,0.3846,0.115,0.402,optimal
1e-06,1e-06,1000.0,1e-06,-0.036,0.2589,0.321,5.949,optimal
1e-06,1e-06,10000.0,1e-06,-0.0367,0.2653,0.34,2.371,optimal
1e-06,1e-06,100000.0,1e-06,-0.0367,0.2653,0.34,5.356,optimal
1e-06,1e-06,1000000.0,1e-06,-0.0367,0.2653,0.34,7.065,optimal
1e-06,1e-05,1e-06,1e-06,0.3939,0.3755,0.0,7.221,optimal
1e-06,1e-05,1e-05,1e-06,0.3939,0.3755,0.0,12.063,optimal
1e-06,1e-05,0.0001,1e-06,0.394,0.3756,0.0,0.183,optimal
1e-06,1e-05,0.001,1e-06,0.3947,0.3761,0.001,0.319,optimal
1e-06,1e-05,0.01,1e-06,0.3951,0.3765,0.001,2.019,optimal
1e-06,1e-05,0.1,1e-06,0.4041,0.3839,0.008,1.758,optimal
1e-06,1e-05,1.0,1e-06,0.434,0.4122,0.029,0.666,optimal
1e-06,1e-05,10.0,1e-06,0.4216,0.43,0.051,0.537,optimal
1e-06,1e-05,100.0,1e-06,0.2658,0.3846,0.115,0.42,optimal
1e-06,1e-05,1000.0,1e-06,-0.036,0.2589,0.321,6.331,optimal
1e-06,1e-05,10000.0,1e-06,-0.0367,0.2653,0.34,2.518,optimal
1e-06,1e-05,100000.0,1e-06,-0.0367,0.2653,0.34,5.455,optimal
