,CAISO,WECC
Apache AZ,0.0,1.0
Cochise AZ,0.0,1.0
Coconino AZ,0.0,1.0
Gila AZ,0.0,1.0
Graham AZ,0.0,1.0
Greenlee AZ,0.0,1.0
La Paz AZ,0.0,1.0
Maricopa AZ,0.0,1.0
Mohave AZ,0.0,1.0
Navajo AZ,0.0,1.0
Pima AZ,0.0,1.0
Pinal AZ,0.0,1.0
Santa Cruz AZ,0.0,1.0
Yavapai AZ,0.0,1.0
Yuma AZ,0.0,1.0
Alameda CA,1.0,1.0
Alpine CA,0.0,1.0
Amador CA,1.0,1.0
Butte CA,1.0,1.0
Calaveras CA,1.0,1.0
Colusa CA,1.0,1.0
Contra Costa CA,1.0,1.0
Del Norte CA,0.0,1.0
El Dorado CA,1.0,1.0
Fresno CA,1.0,1.0
Glenn CA,1.0,1.0
Humboldt CA,1.0,1.0
Imperial CA,0.0,1.0
Inyo CA,0.0,1.0
Kern CA,1.0,1.0
Kings CA,1.0,1.0
Lake CA,1.0,1.0
Lassen CA,0.0,1.0
Los Angeles CA,0.0,1.0
Madera CA,1.0,1.0
Marin CA,1.0,1.0
Mariposa CA,1.0,1.0
Mendocino CA,1.0,1.0
Merced CA,1.0,1.0
Modoc CA,0.0,1.0
Mono CA,0.0,1.0
Monterey CA,1.0,1.0
Napa CA,1.0,1.0
Nevada CA,1.0,1.0
Orange CA,1.0,1.0
Placer CA,1.0,1.0
Plumas CA,1.0,1.0
Riverside CA,0.0,1.0
Sacramento CA,1.0,1.0
San Benito CA,1.0,1.0
San Bernardino CA,1.0,1.0
San Diego CA,1.0,1.0
San Francisco CA,1.0,1.0
San Joaquin CA,1.0,1.0
San Luis Obispo CA,1.0,1.0
San Mateo CA,1.0,1.0
Santa Barbara CA,1.0,1.0
Santa Clara CA,1.0,1.0
Santa Cruz CA,1.0,1.0
Shasta CA,1.0,1.0
Sierra CA,1.0,1.0
Siskiyou CA,0.0,1.0
Solano CA,1.0,1.0
Sonoma CA,1.0,1.0
Stanislaus CA,1.0,1.0
Sutter CA,1.0,1.0
Tehama CA,1.0,1.0
Trinity CA,1.0,1.0
Tulare CA,1.0,1.0
Tuolumne CA,1.0,1.0
Ventura CA,1.0,1.0
Yolo CA,1.0,1.0
Yuba CA,1.0,1.0
Adams CO,0.0,1.0
Alamosa CO,0.0,1.0
Arapahoe CO,0.0,1.0
Archuleta CO,0.0,1.0
Baca CO,0.0,1.0
Bent CO,0.0,1.0
Boulder CO,0.0,1.0
Broomfield CO,0.0,1.0
Chaffee CO,0.0,1.0
Cheyenne CO,0.0,1.0
Clear Creek CO,0.0,1.0
Conejos CO,0.0,1.0
Costilla CO,0.0,1.0
Crowley CO,0.0,1.0
Custer CO,0.0,1.0
Delta CO,0.0,1.0
Denver CO,0.0,1.0
Dolores CO,0.0,1.0
Douglas CO,0.0,1.0
Eagle CO,0.0,1.0
El Paso CO,0.0,1.0
Elbert CO,0.0,1.0
Fremont CO,0.0,1.0
Garfield CO,0.0,1.0
Gilpin CO,0.0,1.0
Grand CO,0.0,1.0
Gunnison CO,0.0,1.0
Hinsdale CO,0.0,1.0
Huerfano CO,0.0,1.0
Jackson CO,0.0,1.0
Jefferson CO,0.0,1.0
Kiowa CO,0.0,1.0
Kit Carson CO,0.0,1.0
La Plata CO,0.0,1.0
Lake CO,0.0,1.0
Larimer CO,0.0,1.0
Las Animas CO,0.0,1.0
Lincoln CO,0.0,1.0
Logan CO,0.0,1.0
Mesa CO,0.0,1.0
Mineral CO,0.0,1.0
Moffat CO,0.0,1.0
Montezuma CO,0.0,1.0
Montrose CO,0.0,1.0
Morgan CO,0.0,1.0
Otero CO,0.0,1.0
Ouray CO,0.0,1.0
Park CO,0.0,1.0
Phillips CO,0.0,1.0
Pitkin CO,0.0,1.0
Prowers CO,0.0,1.0
Pueblo CO,0.0,1.0
Rio Blanco CO,0.0,1.0
Rio Grande CO,0.0,1.0
Routt CO,0.0,1.0
Saguache CO,0.0,1.0
San Juan CO,0.0,1.0
San Miguel CO,0.0,1.0
Sedgwick CO,0.0,1.0
Summit CO,0.0,1.0
Teller CO,0.0,1.0
Washington CO,0.0,1.0
Weld CO,0.0,1.0
Yuma CO,0.0,1.0
Ada ID,0.0,1.0
Adams ID,0.0,1.0
Bannock ID,0.0,1.0
Bear Lake ID,0.0,1.0
Benewah ID,0.0,1.0
Bingham ID,0.0,1.0
Blaine ID,0.0,1.0
