State,Year,Population
AL,2010,4781647
AL,2011,4817757
AL,2012,4853160
AL,2013,4889730
AL,2014,4921479
AL,2015,4943625
AL,2016,4960533
AL,2017,4963574
AL,2018,4984441
AL,2019,5030954
AL,2020,5024279
AL,2021,5045434
AL,2022,5074296
AL,2023,5111322
AL,2024,5153837
AL,2025,5190104
AK,2010,713868
AK,2011,723381
AK,2012,730307
AK,2013,735118
AK,2014,736990
AK,2015,737259
AK,2016,739795
AK,2017,737385
AK,2018,735623
AK,2019,733382
AK,2020,733391
AK,2021,732871
AK,2022,732683
AK,2023,733374
AK,2024,733621
AK,2025,733444
AZ,2010,6408208
AZ,2011,6472643
AZ,2012,6553295
AZ,2013,6632064
AZ,2014,6730413
AZ,2015,6829676
AZ,2016,6941072
AZ,2017,7044008
AZ,2018,7158923
AZ,2019,7278717
AZ,2020,7151502
AZ,2021,7264878
AZ,2022,7381395
AZ,2023,7490076
AZ,2024,7585526
AZ,2025,7670987
AR,2010,2922280
AR,2011,2938506
AR,2012,2949828
AR,2013,2959821
AR,2014,2967726
AR,2015,2978407
AR,2016,2990410
AR,2017,3002997
AR,2018,3012232
AR,2019,3017826
AR,2020,3011524
AR,2021,3027814
AR,2022,3046559
AR,2023,3067332
AR,2024,3086789
AR,2025,3105742
CA,2010,37319502
CA,2011,37638369
CA,2012,37948900
CA,2013,38260787
CA,2014,38596972
CA,2015,38918045
CA,2016,39167117
CA,2017,39358497
CA,2018,39461588
CA,2019,39512223
CA,2020,39538223
CA,2021,39214319
CA,2022,38842633
CA,2023,38481302
CA,2024,38138760
CA,2025,37822158
CO,2010,5029319
CO,2011,5094248
CO,2012,5188806
CO,2013,5272645
CO,2014,5350101
CO,2015,5452107
CO,2016,5543844
CO,2017,5617716
CO,2018,5697155
CO,2019,5758486
CO,2020,5773714
CO,2021,5812069
CO,2022,5839926
CO,2023,5877610
CO,2024,5915729
CO,2025,5953683
CT,2010,3574147
CT,2011,3588283
CT,2012,3594547
CT,2013,3594841
CT,2014,3594524
CT,2015,3587122
CT,2016,3578141
CT,2017,3573297
CT,2018,3571520
CT,2019,3565287
CT,2020,3605944
CT,2021,3605330
CT,2022,3611388
CT,2023,3617159
CT,2024,3625206
CT,2025,3633658
DE,2010,899389
DE,2011,907381
DE,2012,917269
DE,2013,925749
DE,2014,936081
DE,2015,945934
DE,2016,955591
DE,2017,965074
DE,2018,973764
DE,2019,982895
DE,2020,989948
DE,2021,1003609
DE,2022,1018331
DE,2023,1031985
DE,2024,1044439
DE,2025,1056487
DC,2010,601767
DC,2011,620472
DC,2012,635327
DC,2013,649165
DC,2014,662328
DC,2015,675400
DC,2016,685815
DC,2017,694906
DC,2018,701547
DC,2019,705749
DC,2020,689545
DC,2021,670670
DC,2022,671049
DC,2023,678972
DC,2024,688220
DC,2025,695420
FL,2010,18846461
FL,2011,19053237
FL,2012,19300183
FL,2013,19582022
FL,2014,19897746
FL,2015,20271273
FL,2016,20656589
FL,2017,20984400
FL,2018,21254921
FL,2019,21477737
FL,2020,21538187
FL,2021,21781128
FL,2022,22244823
FL,2023,22610726
FL,2024,22964972
FL,2025,23307613
GA,2010,9688681
GA,2011,9805625
GA,2012,9920556
GA,2013,10031861
GA,2014,10123158
GA,2015,10228330
GA,2016,10342937
GA,2017,10427392
GA,2018,10519389
GA,2019,10628020
GA,2020,10711908
GA,2021,10788326
GA,2022,10916960
GA,2023,11029227
GA,2024,11136449
GA,2025,11235619
HI,2010,1363963
HI,2011,1379329
HI,2012,1394804
HI,2013,1408243
HI,2014,1414538
HI,2015,1422052
HI,2016,1427557
HI,2017,1424393
HI,2018,1420593
HI,2019,1415872
HI,2020,1455271
HI,2021,1447154
HI,2022,1440196
HI,2023,1435138
HI,2024,1431451
HI,2025,1428271
ID,2010,1567803
ID,2011,1583912
ID,2012,1595441
ID,2013,1611530
ID,2014,1631781
ID,2015,1651685
ID,2016,1683140
ID,2017,1718904
ID,2018,1750539
ID,2019,1787065
ID,2020,1839106
ID,2021,1890109
ID,2022,1939163
ID,2023,1976663
ID,2024,2012061
ID,2025,2046180
IL,2010,12831572
IL,2011,12843831
IL,2012,12846895
IL,2013,12851684
IL,2014,12841578
IL,2015,12808884
IL,2016,12776366
IL,2017,12723071
IL,2018,12671821
IL,2019,12599537
IL,2020,12801989
IL,2021,12716472
IL,2022,12582152
IL,2023,12519102
IL,2024,12461095
IL,2025,12402422
IN,2010,6484229
IN,2011,6516528
IN,2012,6560683
IN,2013,6600353
IN,2014,6632349
IN,2015,6665703
IN,2016,6701048
IN,2017,6732955
IN,2018,6766908
IN,2019,6805985
IN,2020,6785528
IN,2021,6817293
IN,2022,6862199
IN,2023,6907537
IN,2024,6953942
IN,2025,6998987
IA,2010,3046869
IA,2011,3066336
IA,2012,3075639
IA,2013,3092341
IA,2014,3109311
IA,2015,3121997
IA,2016,3131756
IA,2017,3145711
IA,2018,3152373
IA,2019,3155070
IA,2020,3205958
IA,2021,3197478
IA,2022,3200517
IA,2023,3208573
IA,2024,3219760
IA,2025,3229712
KS,2010,2853132
KS,2011,2885906
KS,2012,2884926
KS,2013,2893264
KS,2014,2900475
KS,2015,2909011
KS,2016,2910844
KS,2017,2908718
KS,2018,2911341
KS,2019,2913314
KS,2020,2937880
KS,2021,2935293
KS,2022,2937922
KS,2023,2945828
KS,2024,2955371
KS,2025,2964627
KY,2010,4339367
KY,2011,4369821
KY,2012,4386842
KY,2013,4404659
KY,2014,4416992
KY,2015,4429126
KY,2016,4440306
KY,2017,4452268
KY,2018,4461153
KY,2019,4467673
KY,2020,4505836
KY,2021,4507742
KY,2022,4509394
KY,2023,4518712
KY,2024,4531876
KY,2025,4544183
LA,2010,4533479
LA,2011,4565391
LA,2012,4602134
LA,2013,4629477
LA,2014,4645426
LA,2015,4664628
LA,2016,4678135
LA,2017,4670560
LA,2018,4659690
LA,2019,4648794
LA,2020,4657757
LA,2021,4629397
LA,2022,4590241
LA,2023,4562093
LA,2024,4537604
LA,2025,4514782
ME,2010,1328361
ME,2011,1328284
ME,2012,1327729
ME,2013,1328009
ME,2014,1330513
ME,2015,1329328
ME,2016,1331479
ME,2017,1334612
ME,2018,1338255
ME,2019,1344212
ME,2020,1362359
ME,2021,1372553
ME,2022,1385470
ME,2023,1397858
ME,2024,1411516
ME,2025,1424115
MD,2010,5773785
MD,2011,5843093
MD,2012,5887145
MD,2013,5928814
MD,2014,5960064
MD,2015,5985562
MD,2016,6003323
MD,2017,6023269
MD,2018,6039972
MD,2019,6045680
MD,2020,6177224
MD,2021,6170135
MD,2022,6162232
MD,2023,6172517
MD,2024,6188941
MD,2025,6203995
MA,2010,6547682
MA,2011,6608413
MA,2012,6649225
MA,2013,6692824
MA,2014,6746622
MA,2015,6794225
MA,2016,6837877
MA,2017,6878347
MA,2018,6907663
MA,2019,6935530
MA,2020,7029917
MA,2021,7029357
MA,2022,7014131
MA,2023,7015403
MA,2024,7020087
MA,2025,7024629
MI,2010,9883640
MI,2011,9877597
MI,2012,9883644
MI,2013,9896958
MI,2014,9914238
