timestamp,AZ,CA,CO,ID,MT,NM,NV,OR,SD,TX,UT,WA,WY
2018-01-01 00:00:00+00:00,,,,,,,,,,,,,
2018-01-01 01:00:00+00:00,,,,,,,,,,,,,
2018-01-01 02:00:00+00:00,,,,,,,,,,,,,
2018-01-01 03:00:00+00:00,7849.2853,32354.2418,8778.0634,4139.2347,2456.166,2600.8416,3315.8265,7771.5784,137.3881,795.1733,4146.8585,15344.5559,1771.9881
2018-01-01 04:00:00+00:00,7561.3217,31988.1767,8619.5723,4099.2223,2391.5502,2519.2739,3253.6005,7701.7976,136.3334,760.1932,4001.6802,15180.9208,1756.0405
2018-01-01 05:00:00+00:00,7028.9635,31219.1825,8345.0075,4009.3677,2316.8181,2420.8497,3148.7246,7517.0228,131.1846,705.3563,3781.3733,14913.771,1707.1766
2018-01-01 06:00:00+00:00,6489.2028,29914.3,8008.056,3884.8212,2240.3209,2280.345,2957.7696,7236.2565,126.1595,648.3245,3555.373,14509.61,1657.3175
2018-01-01 07:00:00+00:00,5979.5993,28577.1875,7850.3575,3795.7077,2176.6841,2166.3197,2775.921,6901.8624,119.4747,625.5933,3396.9252,13958.4777,1611.9322
2018-01-01 08:00:00+00:00,5750.5816,28227.4314,7741.2909,3730.317,2136.1977,2159.3677,2505.7995,6613.8173,115.3393,620.9221,3310.7403,13472.202,1593.5696
2018-01-01 09:00:00+00:00,5789.0461,28264.3286,7659.3122,3722.1898,2127.6635,2177.4399,2389.0746,6408.0569,114.8823,629.3321,3302.4187,12994.321,1583.7403
2018-01-01 10:00:00+00:00,5966.2885,28732.995,7596.0262,3725.1069,2151.2924,2220.562,2433.2521,6417.2318,114.5576,648.1888,3347.9761,12974.9589,1577.7985
2018-01-01 11:00:00+00:00,6455.5119,29356.8834,7804.5214,3790.8369,2205.9912,2307.0992,2524.2258,6526.675,118.0255,691.397,3492.5219,13139.6031,1600.4018
2018-01-01 12:00:00+00:00,7359.7193,30406.7674,8235.4421,3933.1148,2321.6062,2474.8539,2668.8747,6846.3186,121.5399,769.554,3791.1425,13634.8892,1657.2779
2018-01-01 13:00:00+00:00,8529.462,30712.1761,8918.489,4139.2262,2496.8836,2759.6251,2948.7788,7434.6375,127.4976,893.1866,4227.1783,14540.1587,1731.8273
2018-01-01 14:00:00+00:00,9324.1162,34673.1331,9318.4668,4358.9995,2641.3737,2867.6903,3357.8972,8277.221,132.2338,930.092,4596.2288,15897.7963,1791.4406
2018-01-01 15:00:00+00:00,9233.9402,34047.6882,9382.0204,4403.1286,2652.1,2934.7426,3561.5097,8868.6189,131.845,980.894,4639.0546,16943.9237,1769.9663
2018-01-01 16:00:00+00:00,8948.4159,33632.4212,9063.2287,4373.1198,2643.9499,2908.2658,3636.7957,8924.1773,124.6695,1004.7719,4665.9057,17148.5544,1740.9186
2018-01-01 17:00:00+00:00,8719.005,32866.6024,8707.8292,4281.6142,2593.1061,2812.1304,3574.9168,8766.8345,119.7102,999.2777,4637.919,16959.0994,1706.0182
2018-01-01 18:00:00+00:00,8480.1294,32055.8972,8350.7068,4166.9602,2517.8693,2654.1206,3483.9848,8495.3803,113.7547,979.7873,4553.5286,16531.4788,1659.6341
2018-01-01 19:00:00+00:00,8431.9908,31717.7493,8019.2828,4047.5443,2441.1051,2514.6508,3373.2466,8086.7439,106.1294,970.7681,4456.9014,15831.9347,1606.1494
2018-01-01 20:00:00+00:00,8334.7619,31796.4306,7568.5026,3874.993,2355.0015,2362.1267,3267.2592,7706.6872,100.6697,930.11,4329.114,15097.0276,1547.6589
2018-01-01 21:00:00+00:00,8250.9105,31680.9246,7285.4688,3758.3887,2286.5788,2282.6012,3144.3761,7249.8708,97.0237,888.3757,4234.7409,14124.3062,1511.4122
2018-01-01 22:00:00+00:00,8405.2848,31713.0145,7304.4357,3715.4264,2262.6411,2304.7847,3133.2146,6943.7107,98.4906,863.9893,4207.6767,13566.7614,1522.1562
2018-01-01 23:00:00+00:00,8387.6159,31456.3128,7570.196,3765.4206,2331.4564,2384.7448,3183.8411,6931.4358,109.1021,860.7316,4234.568,13658.677,1601.7261
2018-01-02 00:00:00+00:00,8577.2249,31868.4238,8121.5511,3974.3875,2443.6817,2623.1197,3228.2788,7243.6401,118.6072,907.2066,4476.5186,14325.9466,1696.4454
2018-01-02 01:00:00+00:00,8543.1718,33046.7799,8373.6567,4051.7129,2502.769,2687.0293,3419.4638,7631.2906,123.3694,915.8091,4464.0412,14911.0999,1738.1574
2018-01-02 02:00:00+00:00,8202.5844,33002.6869,8384.5282,4080.3822,2535.7982,2694.3012,3457.9984,7791.6158,124.4074,914.1659,4378.9448,15174.9996,1756.9362
2018-01-02 03:00:00+00:00,7884.6221,32534.1527,8318.0282,4057.5655,2520.3426,2665.3738,3443.1691,7836.6056,124.1903,883.7452,4242.7295,15189.7633,1758.1079
2018-01-02 04:00:00+00:00,7500.2238,31893.2331,8139.9742,3988.4381,2459.0934,2602.9398,3331.8725,7725.5316,124.2641,839.3271,4035.5035,15043.4339,1737.4903
2018-01-02 05:00:00+00:00,6902.4193,30847.461,7921.5055,3890.4465,2392.0725,2496.13,3173.7433,7548.0778,120.0094,773.409,3784.4018,14830.3071,1687.1438
2018-01-02 06:00:00+00:00,6209.3493,29442.1905,7656.9831,3777.2093,2308.0577,2337.7215,2941.3511,7316.6144,113.8908,706.2786,3531.8207,14491.8294,1636.8892
2018-01-02 07:00:00+00:00,5655.9274,28078.9235,7397.0059,3687.6095,2236.3697,2204.0401,2708.3438,6952.8056,109.9474,673.3696,3352.2007,13849.4046,1593.308
2018-01-02 08:00:00+00:00,5399.177,27423.3132,7327.8784,3651.6062,2192.2223,2170.1457,2431.0429,6602.7267,104.9888,669.2332,3278.2291,13108.6855,1580.0218
2018-01-02 09:00:00+00:00,5423.5563,27350.2334,7305.7173,3679.0374,2173.7884,2176.7338,2313.7252,6426.7532,103.6999,675.1277,3279.8468,12602.9781,1575.9639
2018-01-02 10:00:00+00:00,5541.1046,27831.5424,7313.7366,3720.0716,2185.0041,2197.887,2353.6909,6448.6295,102.4312,687.363,3333.2425,12563.5242,1576.1978
2018-01-02 11:00:00+00:00,5963.2096,28355.8825,7577.7927,3828.1953,2222.3986,2268.064,2446.5495,6525.9449,104.8427,722.3092,3483.286,12697.4319,1604.0979
2018-01-02 12:00:00+00:00,6800.1435,29270.566,8048.2437,3998.4994,2308.8564,2428.462,2602.9776,6789.8378,107.7276,792.1132,3788.7186,13152.6865,1662.4077
2018-01-02 13:00:00+00:00,7958.969,29405.0647,8758.1086,4224.5656,2454.4378,2707.2826,2871.6075,7266.5263,113.71,903.4601,4233.3791,13996.0415,1737.7386
2018-01-02 14:00:00+00:00,8812.0738,33247.7877,9173.5526,4459.2156,2572.4702,2805.2037,3269.1241,7974.4553,118.1631,930.0844,4618.7452,15262.3733,1794.5605
2018-01-02 15:00:00+00:00,8825.2175,32682.6376,9221.4004,4511.3582,2560.7179,2861.1173,3479.1462,8507.5622,117.9106,971.4114,4678.4669,16279.5689,1768.5689
2018-01-02 16:00:00+00:00,8601.5794,32507.4991,8855.9934,4486.1974,2535.8039,2823.2019,3592.8729,8577.821,110.94,987.0133,4716.571,16602.5841,1730.9218
2018-01-02 17:00:00+00:00,8425.702,32144.0426,8433.3765,4392.43,2479.1477,2726.8372,3578.6594,8496.1875,108.4157,977.6212,4693.9381,16655.6667,1685.3409
2018-01-02 18:00:00+00:00,8198.3801,31752.6183,8017.7135,4262.2764,2400.1968,2573.745,3500.4825,8310.4217,104.9323,956.3199,4604.5786,16490.3901,1629.041
2018-01-02 19:00:00+00:00,8099.4231,31860.5169,7622.1867,4128.0927,2316.3401,2451.4209,3387.9155,8016.0884,99.8086,940.6419,4499.724,16091.1423,1569.7421
2018-01-02 20:00:00+00:00,7896.8749,32359.1704,7117.4239,3932.2317,2222.7784,2321.8838,3285.0113,7755.6105,95.7163,897.0979,4353.5803,15693.6836,1506.1246
