BUS_I,LAT,LON,GEOHASH,NAME,GEN,LOAD,BA,COUNTY
1001,36.670897,-108.581419,9wdb95,FOURCORN,,0.0,SW,35045
1002,36.670897,-108.581419,9wdb95,FOURCORN,,0.22371,SW,35045
1003,36.670897,-108.581419,9wdb95,FOURCORN,,2.21266,SW,35045
1004,36.910483,-108.278462,9we1bp,SAN JUAN,,1.00772,SW,35045
1032,36.670897,-108.581419,9wdb95,FCNGN4CC,2.561,0.0,SW,35045
1034,36.910483,-108.278462,9we1bp,SJUAN G4,6.326,0.0,SW,35045
1101,35.131373,-109.690674,9w1zzg,CORONADO,,4.48254,SW,04001
1102,34.940278,-110.300278,9w1wf0,CHOLLA,,0.17987,SW,04017
1131,35.131373,-109.690674,9w1zzg,CORONADO,6.202,0.0,SW,04001
1201,35.985019,-111.090655,9w3h8n,MOENKOPI,,0.15398,SW,04005
1202,36.961002,-110.864429,9w94m0,NAVAJO,,0.81075,SW,04005
1232,36.961002,-110.864429,9w94m0,NAVAJO 2,6.176,0.0,SW,04005
1301,35.929472,-114.835922,9qqk6u,MEAD,,2.58831,CA,32003
1302,36.649771,-115.134207,9qw0kp,H ALLEN,,0.01709,CA,32003
1303,36.649771,-115.134207,9qw0kp,H ALLEN,,6.20412,CA,32003
1331,35.929472,-114.835922,9qqk6u,HOOVER,4.495,0.0,CA,32003
1333,36.649771,-115.134207,9qw0kp,H ALLEN,9.852,0.0,CA,32003
1401,33.513802,-113.239936,9mzqxj,PALOVRDE,,6.31453,SW,04013
1402,34.067027,-112.396715,9w01f3,WESTWING,,5.0742,SW,04025
1403,34.144722,-114.289722,9qndpr,PARKER,,0.0,CA,04012
1431,33.513802,-113.239936,9mzqxj,PALOVRD2,15.799,0.0,SW,04013
2000,32.227887,-115.436076,9mtzm4,MEXICO,,2.20719,MX,
2030,32.227887,-115.436076,9mtzm4,MEXICO,2.839,0.0,MX,
2100,32.971469,-115.394435,9mvgw4,IMPERIAL,,0.24448,SW,06025
2130,32.971469,-115.394435,9mvgw4,IMPERIAL,1.928,0.0,SW,06025
2201,32.680823,-116.982615,9muccv,MIGUEL,,0.0,CA,06073
2202,32.680823,-116.982615,9muccv,MIGUEL,,1.41396,CA,06073
2203,32.784153,-117.137829,9mudw2,MISSION,,1.53005,CA,06073
2233,32.784153,-117.137829,9mudw2,MISSION,3.605,0.0,CA,06073
2301,32.856407,-115.56459,9mvffm,IMPRLVLY,,0.0,SW,06025
2302,32.856407,-115.56459,9mvffm,IMPRLVLY,,0.0,SW,06025
2332,32.856407,-115.56459,9mvffm,IMPRLVLY,1.333,0.0,SW,06025
2400,33.927377,-116.57522,9qj152,DEVERS,,0.74161,CA,06065
2401,34.369347,-117.368876,9qhe90,LUGO,,0.75656,CA,06071
2402,34.008174,-117.564527,9qh3ky,MIRALOMA,,0.94418,CA,06071
2403,33.796667,-117.224444,9qh8k2,VALLEY,,0.92491,CA,06065
2404,34.488498,-118.12147,9qhh0n,VINCENT,,0.0,CA,06037
